ceref,name_en,website_url,name_disambiguation_status,operational_status,asset_classes,style,sub_strategy,illiquid_book_likelihood,cayman_fund_signals,us_lp_signals,geographic_focus,sector_focus,family_office_type,parent_org,parent_relationship,aum_raw_string,aum_currency,aum_usd_m,linkedin_url,ir_email,emails_on_site,generic_emails_on_site,also_holds_type_1,also_holds_type_4,all_sfc_ra_types,evidence_strength,rationale,classification_source,serpapi_kg_summary,source_markdown_path,classified_at_utc,classifier_version,email_extraction_cleared,website_accuracy,deep_scrape_attempted_utc,deep_scrape_status,hunter_email,hunter_score,hunter_status,hunter_attempted_utc
AAJ650,RBC Global Asset Management (Asia) Limited,https://www.rbcgam.com/,medium_confidence,active,"public_equity,public_credit,multi",mixed,,medium,,,global,generalist,not_applicable,Royal Bank of Canada,subsidiary,,,,,,,,true,true,"1,4,9",guessed,"Recognized as the Hong Kong subsidiary of RBC Global Asset Management (RBC GAM), which is a well-known asset manager offering primarily public equity and fixed income strategies, with some allocation to alternative assets through its parent Royal Bank of Canada, warranting a medium illiquid book likelihood.",llm_on_name,,data\firm_pages\AAJ650.md,2026-05-29T06:55:20Z,v2-2026-05-27,,probable,2026-05-29T04:20:19+00:00,,,,,
AAJ693,First Sentier Investors (Hong Kong) Limited,https://www.firstsentierinvestors.com,high_confidence,active,"public_equity,public_credit,infrastructure,real_assets",mixed,,medium,,,global,generalist,not_applicable,First Sentier Investors (part of Mitsubishi UFJ Financial Group),subsidiary,,,,,,,,true,true,"1,4,9",multiple_pages_corroborate,"First Sentier Investors is an active, specialist manager covering Australian equities, global listed infrastructure, listed property securities, and regional fixed income. While listed infrastructure and property are public securities, the parent group's mention of 'alternative credit' and 'privately-owned assets' signals some illiquid exposure, but private markets are not a primary business line, so illiquid likelihood is medium.",consensus_website_plus,,data\firm_pages\AAJ693.md,2026-05-28T07:58:41Z,v2-2026-05-27,,verified,,,,,,
AAJ737,BOCI Commodities & Futures Limited,https://www.bocigroup.com/,medium_confidence,active,"public_equity,public_credit,commodities",mixed,"commodities futures, investment banking, securities brokerage",low,,,greater_china,"financials,generalist",not_applicable,BOC International Holdings (中银国际控股有限公司),subsidiary,,,,,,"bj@bocigroup.com,bociusa@bocigroup.com,china@bocigroup.com,singapore@bocigroup.com,uk@bocigroup.com",info@bocigroup.com,false,false,"2,5",inferred_from_name_or_parent,"BOCI Commodities & Futures is a subsidiary of BOC International (the investment banking/brokerage arm of Bank of China). The website shows no mention of private equity, private credit, or illiquid assets; services focus on securities trading, commodities, fixed income research, and IPOs. Illiquid book likelihood is low because the parent group primarily operates in public markets and investment banking, not private capital.",website,,data\firm_pages\AAJ737.md,2026-05-28T06:35:43Z,v2-2026-05-27,,probable,,,,,,
AAJ770,Invesco Hong Kong Limited (trading as Invesco Asia Pacific),https://www.invesco.com.hk,high_confidence,active,"public_equity,public_credit,multi",mixed,,medium,,,greater_china,generalist,not_applicable,Invesco Group,subsidiary,,,,,,,,true,true,"1,2,4,5,9",multiple_pages_corroborate,"The website is a generic regional portal for Invesco Hong Kong, a subsidiary of Invesco Group. The text covers equities, bonds, and ETFs, indicating public liquid asset classes; Invesco Group is a large global asset manager with material illiquid private-market businesses (private credit, real assets, secondaries) but this page only references liquid funds, so illiquid likelihood is medium by parent group posture. No AUM, contact details, or specific private-market mentions found.",consensus_website_plus,,data\firm_pages\AAJ770.md,2026-05-28T08:58:28Z,v2-2026-05-27,,verified,,,,,,
AAJ895,Citicorp International Limited,,no_match,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,false,false,,no_evidence,,none,"KG title: Citicorp
KG type: Bank
KG headquarters: New York, New York, United States
KG parent_organization: Citigroup
KG founded: 1967",,2026-05-28T06:55:45Z,v2-2026-05-27,,not_found,,,,,,
AAJ958,ACM Asia Limited,https://www.acmhk.com,medium_confidence,active,"private_equity,private_credit,real_assets,public_equity",buy_and_hold,direct investment and corporate finance,high,true,,greater_china,generalist,not_applicable,ACM Group,subsidiary,,,,,,,,false,true,"4,6,9",multiple_pages_corroborate,"The website describes ACM Group as a corporate financial advisory and investment management firm with a focus on private equity, direct investments, and corporate finance, indicating a high likelihood of illiquid holdings; the team has decades of private equity experience, and the Hong Kong entity is the SFC-licensed arm of the broader ACM Group.",website,,data\firm_pages\AAJ958.md,2026-05-28T05:55:39Z,v2-2026-05-27,,probable,,,,,,
AAJ976,Roctec Futures Trading Company Limited,,no_match,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,false,false,2,no_evidence,,none,,,2026-05-28T14:01:16Z,v2-2026-05-27,,not_found,,,,,,
AAJ984,Deutsche Securities Asia Limited,https://www.db.com/hongkong,high_confidence,active,"public_equity,public_credit,multi",mixed,,medium,,,asia,generalist,not_applicable,Deutsche Bank,subsidiary,,,,,,,,true,false,"1,2,6",inferred_from_name_or_parent,"Firm is a Hong Kong branch of Deutsche Bank; parent provides investment bank and DWS asset management services, which include both liquid and illiquid strategies, indicating a medium likelihood of illiquid holdings.",website,,data\firm_pages\AAJ984.md,2026-05-28T07:30:11Z,v2-2026-05-27,,probable,,,,,,
AAJ999,CAM Wealth Management Company Limited,https://thesfcnetwork.com/,medium_confidence,no_site_found,unknown,unknown,,unknown,,,,none,not_applicable,,n_a,,,,,,,,false,true,"4,9",no_evidence,"Scraped page is the SFC network site, not the firm's own website; no content about CAM Wealth Management Company.",none,,data\firm_pages\AAJ999.md,2026-05-28T06:54:10Z,v2-2026-05-27,,not_found,,,,,,
AAK004,Waton Securities International Limited,https://www.waton.com,medium_confidence,active,"public_equity,public_credit",directional_long,"brokerage, IPO subscription, margin trading",low,,,global,generalist,not_applicable,,n_a,,,,,,,,true,true,"1,4,5,9",inferred_from_name_or_parent,"The website describes Waton Securities as a Hong Kong broker licensed for Type 1/4/5/9 offering retail stock trading, IPO subscription, margin, options, and a Brokerage X SaaS service. No mention of illiquid private investments; it is a pure brokerage and execution shop with no parent group. Illiquid likelihood is low.",website,,data\firm_pages\AAK004.md,2026-05-28T14:43:12Z,v2-2026-05-27,,probable,,,,,,
AAK018,Funderstone Securities Limited,https://www.funderstone.com,high_confidence,active,"private_equity,public_equity,public_credit",mixed,,medium,,,greater_china,generalist,not_applicable,International Resources Group Limited (1051.HK),subsidiary,,,,,,,,true,true,"1,4,6,9",inferred_from_name_or_parent,"Funderstone Securities offers private investment services (including private equity) alongside brokerage and asset management; its parent International Resources Group is a listed HK company, but no explicit AUM or illiquid allocation depth is stated; 'medium' reflects presence of private investments without more details.",website,,data\firm_pages\AAK018.md,2026-05-28T07:58:44Z,v2-2026-05-27,,probable,,,,,,
AAK058,Associated Advisers Limited,,no_match,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,true,true,"1,4,9",no_evidence,,none,"KG title: Associated Advisers Ltd
KG type: Insurance broker in Hong Kong",,2026-05-28T05:57:16Z,v2-2026-05-27,,not_found,,,,,,
AAK077,Deutsche Bank Aktiengesellschaft,,no_match,active,"public_equity,public_credit,private_equity,private_credit,real_assets,multi",mixed,,medium,,,global,generalist,not_applicable,,n_a,,,,,,,,false,false,,inferred_from_name_or_parent,"Deutsche Bank AG is a major global financial institution with significant asset management operations (DWS Group) that include both liquid and illiquid private markets, hence medium illiquid book likelihood.",llm_on_name,,,2026-05-28T07:32:13Z,v2-2026-05-27,,not_found,,,,,,
AAK110,Corporate Commodities Limited,https://www.cblhk.com,no_match,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,false,false,2,no_evidence,,none,,,2026-05-28T06:54:15Z,v2-2026-05-27,,not_found,,,,,,
AAK249,CITIC Securities (Hong Kong) Limited,https://www.clsa.com,medium_confidence,active,"public_equity,public_credit,private_equity,private_credit,multi",mixed,,medium,,,asia,generalist,not_applicable,CITIC Securities Company Limited (CITIC Securities),subsidiary,,,,,,"kai.kaufmann@clsa.com,login.enquiry@clsa.com",,false,true,"4,6",multiple_pages_corroborate,"Website is a CLSA/CITIC CLSA portal describing full-service brokerage and asset management; parent CITIC Securities is a major Chinese investment bank with both liquid (equities, FICC) and illiquid (alternative investment management, corporate finance) offerings, leading to a medium illiquid likelihood.",consensus_website_plus,,data\firm_pages\AAK249.md,2026-05-28T06:54:21Z,v2-2026-05-27,,probable,,,,,,
AAK273,Alpha Futures Company Limited,https://www.alphafutures.com/,high_confidence,placeholder_site,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,false,false,2,no_evidence,"The domain alphafutures.com is registered but only shows a GoDaddy placeholder page with no content about Alpha Futures Company Limited, so it is a placeholder site with no operational information.",none,"KG title: Alpha Fund Solutions Limited
KG type: Financial institution in Hong Kong",data\firm_pages\AAK273.md,2026-05-28T05:56:28Z,v2-2026-05-27,,unverified,,,,,,
AAK561,Arta Global Futures Limited,https://www.artagm.com,high_confidence,active,"public_equity,public_credit,unknown",mixed,,low,,,,generalist,not_applicable,,n_a,,,,,,cs@artagm.com,,false,false,2,inferred_from_name_or_parent,"The website indicates the firm provides securities and futures trading services, suggesting a focus on liquid public markets, and no mention of private illiquid assets; parent group unknown, so illiquid_book_likelihood set to low.",website,,data\firm_pages\AAK561.md,2026-05-28T05:55:40Z,v2-2026-05-27,,probable,,,,,,
AAK565,"Dah Sing Bank, Limited",https://www.dahsing.com/,high_confidence,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,Dah Sing Group,n_a,,,,,,,,false,false,,no_evidence,"The source text is a retail banking homepage in Chinese promoting deposit, loan, credit card, and securities trading products. There is no mention of asset management, SFC Type 9, or any investment management business. The firm is a licensed bank (Dah Sing Bank), not necessarily an asset manager itself; its SFC Type 9 license may relate to a separate entity. The text provides no evidence of asset classes, style, AUM, or illiquid holdings.",none,,data\firm_pages\AAK565.md,2026-05-28T07:30:35Z,v2-2026-05-27,,not_found,,,,,,
AAK655,Ban Hin Securities Company Limited,https://www.openbankingtracker.com/,medium_confidence,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,true,false,1,no_evidence,"The scraped text is from an open banking directory and contains no content related to Ban Hin Securities Company Limited's investment activities or operations, so the firm is classified as having no site found.",none,"KG title: Ban Hin Securities Company Limited

KG title: Ban Hin Securities Company Limited",data\firm_pages\AAK655.md,2026-05-28T06:35:37Z,v2-2026-05-27,,not_found,,,,,,
AAK738,King Sun Securities Limited,https://www.morganfuelgo.com,no_match,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,true,true,"1,4,9",no_evidence,,none,,,2026-05-29T06:46:35Z,v2-2026-05-27,,not_found,2026-05-29T04:20:19+00:00,,,,,
AAK782,"Bank of Communications Co., Ltd.",https://www.hk.bankcomm.com/,medium_confidence,active,unknown,unknown,,medium,,,greater_china,generalist,not_applicable,Bank of Communications,subsidiary,,,,,,,,false,false,,inferred_from_name_or_parent,"The entity is a Hong Kong licensed bank subsidiary of Bank of Communications, a major Chinese commercial bank. As a bank, it likely offers a mix of liquid and illiquid assets (e.g., loan books, possibly private credit or real estate exposure), so illiquid_book_likelihood is medium. No asset manager website was scraped; the source is a knowledge graph summary describing a bank, not an asset manager. Asset classes and style are unknown because the source does not mention investment management activities.",serpapi_kg,"KG title: Bank of Communications (Hong Kong)
KG desc: The Bank of Communications (Hong Kong) Limited is a licensed bank in Hong Kong. It was opened in 1934 and incorporated in 2018. The Bank's Hong Kong Branch was consolidated as part of ""Joint Office of Joint Public-Private Banks"" in 1952, and later part of the Bank of China Group.
KG headquarters: Hong Kong
KG parent_organization: Bank of Communications",data\firm_pages\AAK782.md,2026-05-28T06:35:01Z,v2-2026-05-27,,probable,,,,,,
AAK784,HSBC Institutional Trust Services (Asia) Limited,https://www.qualityassurance.memberservices.hsbc.com/,high_confidence,placeholder_site,unknown,unknown,,unknown,,,,,not_applicable,HSBC Group,subsidiary,,,,,,,,false,false,13,no_evidence,"The source is a member login portal for HSBC Securities Services, not an institutional asset management or investment website. No information about asset classes, investment style, or AUM is present. The firm is a trust/custody services entity within HSBC Group.",none,"KG title: HSBC Institutional Trust Services (Asia) Limited
KG type: Corporate office in Hong Kong",data\firm_pages\AAK784.md,2026-05-28T08:35:47Z,v2-2026-05-27,,unverified,,,,,,
AAK796,"Bank of America, National Association",,no_match,active,multi,mixed,,medium,false,false,global,generalist,not_applicable,Bank of America Corporation,subsidiary,,,,,,,,false,false,,guessed,"No direct website provided; based on KG entry and known parent group (Bank of America) which runs both liquid and illiquid businesses, so illiquid_book_likelihood set to medium; asset classes set to multi due to broad investment capabilities of the parent.",serpapi_kg,"KG title: Bank of America, National Association

KG title: Bank of America
KG type: Financial institution in Hong Kong",,2026-05-28T06:35:18Z,v2-2026-05-27,,not_found,,,,,,
AAK801,Bank of China Limited,https://www.bankofchina.com/,high_confidence,active,"public_credit,multi",directional_long,commercial banking with wealth management and custody,medium,false,false,greater_china,generalist,not_applicable,Bank of China Limited,n_a,,,,,,,,false,false,,multiple_pages_corroborate,"Bank of China is a state-owned commercial bank with a large balance sheet and some private credit / real estate exposure through lending and subsidiaries, but its core business is traditional banking; it is not primarily an asset manager, and its illiquid book is moderate relative to its total assets.",consensus_website_plus,"KG title: Bank of China (Hong Kong)
KG type: Commercial banking company
KG desc: Bank of China (Hong Kong) Limited, abbreviated as BOCHK, is a subsidiary of the Bank of China. Bank of China (Hong Kong) is the second-largest commercial banking group in Hong Kong in terms of assets and customer deposits, with more than 190 branches across Hong Kong as of the end of 2019.
KG ceo: Sun Yu (Dec 23, 2020–)
KG headquarters: Central, Hong Kong
KG subsidiaries: Bank of China (Malaysia) Berhad
KG number_of_employees: 14,832 (2022)
KG founded: October 1, 2001, Hong Kong",data\firm_pages\AAK801.md,2026-05-28T06:35:01Z,v2-2026-05-27,,verified,,,,,,
AAK809,Bank of Montreal,,no_match,active,multi,mixed,,medium,,,global,generalist,not_applicable,,n_a,,,,,,,,false,false,,guessed,"Bank of Montreal is a major Canadian bank with significant asset management operations, likely including both liquid public market funds and some illiquid alternative investments such as private debt or real estate, but no specific website was provided to confirm.",llm_on_name,"KG title: Bank Of Montreal
KG type: Bank in Hong Kong",,2026-05-28T06:36:07Z,v2-2026-05-27,,not_found,,,,,,
AAK816,Credit Agricole Corporate and Investment Bank,https://www.creditcapital.com.hk/,medium_confidence,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,Credit Agricole Corporate and Investment Bank,n_a,,,,,,,,false,false,,no_evidence,"Provided source text is a hosting setup page for creditcapital.com.hk, unrelated to Credit Agricole Corporate and Investment Bank; no firm website content available.",none,"KG title: Credit Agricole Corporate and Investment Bank
KG type: Investment bank in Hong Kong",data\firm_pages\AAK816.md,2026-05-28T06:56:17Z,v2-2026-05-27,,not_found,,,,,,
AAK832,Bank of Communications Trustee Limited,https://www.bocomtrust.com.hk,medium_confidence,active,unknown,unknown,,medium,,,greater_china,generalist,not_applicable,Bank of Communications,subsidiary,,,,,,,,false,false,13,inferred_from_name_or_parent,"The firm is a Hong Kong-licensed trustee and custodian subsidiary of Bank of Communications, offering pension, trust, and custody services rather than active asset management; as a major Chinese bank subsidiary, it likely facilitates some illiquid investments on behalf of clients, but the website focuses on retirement and custody products, not direct alternative asset management.",website,,data\firm_pages\AAK832.md,2026-05-28T06:35:22Z,v2-2026-05-27,,probable,,,,,,
AAK840,United Overseas Bank Limited,https://www.unitedoverseasbank.com/,high_confidence,active,"public_credit,public_equity,private_credit,real_assets",mixed,,medium,,,asean,generalist,not_applicable,United Overseas Bank Limited,n_a,,,,,,,,false,false,,guessed,"United Overseas Bank (UOB) is a major Singaporean banking group with asset management arm (UOB Asset Management) that invests in public equities and bonds, and also engages in private credit and real assets through its banking and wealth management activities, making illiquid book likelihood medium.",llm_on_name,"KG title: United Overseas Bank Limited
KG type: Bank in Hong Kong",data\firm_pages\AAK840.md,2026-05-28T14:38:39Z,v2-2026-05-27,,probable,,,,,,
AAK877,Bloomyears Limited,https://bloomyears.com.hk,no_match,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,true,false,1,no_evidence,,none,,,2026-05-28T06:36:08Z,v2-2026-05-27,,not_found,,,,,,
AAL252,Societe Generale,https://www.societegenerale.asia/,high_confidence,active,"public_equity,public_credit,private_credit,real_assets",mixed,,medium,,,asia_pacific,generalist,not_applicable,,n_a,,,,,,,,false,false,,multiple_pages_corroborate,"Societe Generale is a top-tier European bank with a broad array of financial solutions including corporate and investment banking, which typically involves private credit and real assets via structured finance; illiquid book likelihood set to medium reflecting the mixed nature of a large universal bank with both liquid and illiquid operations.",consensus_website_plus,"KG title: Societe Generale
KG type: Financial institution in Hong Kong",data\firm_pages\AAL252.md,2026-05-28T14:13:11Z,v2-2026-05-27,,verified,,,,,,
AAL384,BCOM Finance (Hong Kong) Limited,,no_match,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,false,false,,no_evidence,,none,,,2026-05-28T06:37:22Z,v2-2026-05-27,,not_found,,,,,,
AAL483,Australia and New Zealand Banking Group Limited,https://www.australia.com/,high_confidence,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,false,false,,no_evidence,"The source text is entirely about Australian tourism, not the firm's website or asset management business.",none,"KG title: ANZ Bank Hong Kong
KG type: Bank",data\firm_pages\AAL483.md,2026-05-28T04:48:21Z,v2-2026-05-27,,not_found,,,,,,
AAL518,HSBC Investment Funds (Hong Kong) Limited,https://www.assetmanagement.hsbc.com.hk,high_confidence,active,"public_equity,public_credit,private_equity,private_credit,real_assets",mixed,,medium,,,global,generalist,not_applicable,HSBC Group,subsidiary,,,,,,,,true,true,"1,4,5,9",multiple_pages_corroborate,"HSBC Investment Funds (Hong Kong) Limited is a subsidiary of HSBC Group, a global banking and asset management conglomerate with a full range of asset classes including significant private market businesses, leading to a medium likelihood of illiquid holdings based on parent group posture.",consensus_website_plus,,data\firm_pages\AAL518.md,2026-05-28T08:34:05Z,v2-2026-05-27,,verified,,,,,,
AAL594,Chiyu Banking Corporation Limited,https://www.chiyubank.com/,medium_confidence,no_site_found,unknown,unknown,,unknown,,,,,not_applicable,,n_a,,,,,,,,false,false,,no_evidence,"The source text does not relate to any asset management activity; the website appears to be that of a retail bank (Chiyu Banking Corporation Limited) and contains no information about investment management, assets under management, or private investments.",none,"KG title: Chiyu Banking Corporation
KG desc: Chiyu Banking Corporation Limited also known as Chiyu Bank is a bank incorporated in Hong Kong.
KG founder: Tan Kah Kee
KG parent_organization: Chiyu International Financial Holdings Ltd.
KG founded: July 15, 1947",data\firm_pages\AAL594.md,2026-05-28T06:55:02Z,v2-2026-05-27,,not_found,,,,,,
AAL664,DBS Bank (Hong Kong) Limited,https://www.dbs.com.hk/,medium_confidence,active,"public_credit,public_equity,multi",mixed,,medium,,,asia,generalist,not_applicable,DBS Group Holdings Ltd,subsidiary,,,,,,,,false,false,,multiple_pages_corroborate,"DBS Bank is a subsidiary of DBS Group, a major Asian financial group; the Hong Kong website focuses on retail and private banking wealth management, but as a large bank group, DBS likely has illiquid private credit and real estate exposure, leading to 'medium' illiquid book likelihood.",consensus_website_plus,"KG title: DBS Bank (Hong Kong) Limited
KG desc: DBS Bank (Hong Kong) Limited is a licensed bank incorporated in Hong Kong and is a subsidiary of DBS Bank headquartered in Singapore. As at 31 December 2024, it is the ninth-largest bank in Hong Kong by highest total assets.
KG ceo: Juan Eugenio Sebastian Paredes Muirragui (Sep 13, 2010–)
KG headquarters: Hong Kong
KG founded: July 21, 2003",data\firm_pages\AAL664.md,2026-05-28T07:31:12Z,v2-2026-05-27,,probable,,,,,,
AAL698,Bank of China (Hong Kong) Limited,https://www.bankofchina.com/,high_confidence,active,"public_equity,public_credit,multi",mixed,,medium,,,china,generalist,not_applicable,,n_a,,,,,,,,false,false,,multiple_pages_corroborate,"Bank of China is a major state-owned commercial bank with some asset management and wealth management arms (e.g., BOC Fund Management, BOC Aviation Leasing), suggesting a medium likelihood of illiquid assets (e.g., private credit, leasing). However, the website primarily covers retail and corporate banking, with minimal explicit mention of private equity or private credit funds, so illiquid book likelihood is medium.",consensus_website_plus,"KG title: Bank of China (Hong Kong)
KG type: Commercial banking company
KG desc: Bank of China (Hong Kong) Limited, abbreviated as BOCHK, is a subsidiary of the Bank of China. Bank of China (Hong Kong) is the second-largest commercial banking group in Hong Kong in terms of assets and customer deposits, with more than 190 branches across Hong Kong as of the end of 2019.
KG ceo: Sun Yu (Dec 23, 2020–)
KG headquarters: Central, Hong Kong
KG subsidiaries: Bank of China (Malaysia) Berhad
KG number_of_employees: 14,832 (2022)
KG founded: October 1, 2001, Hong Kong",data\firm_pages\AAL698.md,2026-05-28T06:35:47Z,v2-2026-05-27,,verified,,,,,,
AAL996,"JPMorgan Chase Bank, National Association",https://am.jpmorgan.com/,medium_confidence,active,"private_equity,private_credit,real_assets,public_equity,public_credit,fund_of_funds,multi",mixed,,medium,,,global,generalist,not_applicable,JPMorgan Chase & Co.,subsidiary,,,,,,,,false,false,,multiple_pages_corroborate,"JPMorgan Asset Management, a subsidiary of JPMorgan Chase, is a top-tier global asset manager with a broad range of investment capabilities including alternatives (private equity, private credit, real assets), liquid public markets, and multi-asset solutions, justifying a mixed style and medium illiquid book likelihood.",consensus_website_plus,,data\firm_pages\AAL996.md,2026-05-28T09:09:43Z,v2-2026-05-27,,probable,,,,,,
AAM944,Standard Chartered Trustee (Hong Kong) Limited,https://hktrustees.com/,medium_confidence,active,unknown,unknown,,medium,,,,,not_applicable,Standard Chartered Bank (Hong Kong) Limited,subsidiary,,,,,,,,false,false,13,inferred_from_name_or_parent,"The entity is a trustee and fund administration arm of Standard Chartered Bank, which as a global banking group operates a substantial illiquid book (private credit, infrastructure, etc.) despite no specific asset class detail in the source.",serpapi_kg,"AI overview: Standard Chartered Trustee (Hong Kong) Limited is a wholly-owned subsidiary of Standard Chartered Bank (Hong Kong) Limited, providing a full suite of trustee, fund administration, custody, and transfer agency services to retail and institutional investors. www.sc.com Corporate Profile  Core Services  Contact & Location  For detailed institutional and corporate trustee information, refer to the Standard Chartered Corporate & Institutional Banking portal.",data\firm_pages\AAM944.md,2026-05-28T14:14:46Z,v2-2026-05-27,,probable,,,,,,
AAN305,"MUFG Bank, Ltd.",https://www.bk.mufg.jp/,high_confidence,active,"public_equity,public_credit,private_equity,private_credit,real_assets,multi",mixed,,medium,,,global,generalist,not_applicable,MUFG (Mitsubishi UFJ Financial Group),subsidiary,,,,,,,,false,false,,inferred_from_name_or_parent,"MUFG Bank is the banking arm of MUFG, a global financial group that offers both liquid and illiquid asset management and lending, implying a medium likelihood of illiquid holdings, though the source is only a basic KG entry.",serpapi_kg,"KG title: MUFG Bank, Ltd., Hong Kong Branch
KG type: Bank in Hong Kong",data\firm_pages\AAN305.md,2026-05-28T13:01:00Z,v2-2026-05-27,,probable,,,,,,
AAN851,Bank of China International Limited,https://www.chinaamc.com.hk/,high_confidence,active,"public_equity,public_credit,multi",mixed,,low,,,greater_china,generalist,not_applicable,"China Asset Management Co., Limited",subsidiary,,,,,,,,false,false,,inferred_from_name_or_parent,"The scraped page is for China Asset Management (Hong Kong) Limited, a wholly-owned subsidiary of China Asset Management Co., Limited, not Bank of China International Limited. The site shows only liquid public market products (equity funds, ETFs, fixed income, digital assets), with no mention of private equity, private credit, or real assets, indicating very low illiquid exposure for the parent group. The parent group is a large mainland Chinese fund manager primarily focused on public securities.",website,"KG title: Bank of China (Hong Kong)
KG type: Commercial banking company
KG desc: Bank of China (Hong Kong) Limited, abbreviated as BOCHK, is a subsidiary of the Bank of China. Bank of China (Hong Kong) is the second-largest commercial banking group in Hong Kong in terms of assets and customer deposits, with more than 190 branches across Hong Kong as of the end of 2019.
KG ceo: Sun Yu (Dec 23, 2020–)
KG headquarters: Central, Hong Kong
KG subsidiaries: Bank of China (Malaysia) Berhad
KG number_of_employees: 14,832 (2022)
KG founded: October 1, 2001, Hong Kong",data\firm_pages\AAN851.md,2026-05-28T06:36:56Z,v2-2026-05-27,,probable,,,,,,
AAO017,Credit Suisse (Hong Kong) Limited,https://www.credit-suisse.com,ambiguous,active,"private_equity,private_credit,real_assets,public_equity,public_credit,multi",mixed,,medium,,,global,generalist,not_applicable,UBS Group,subsidiary,,,,,,,,true,false,1,multiple_pages_corroborate,"Website redirects to UBS Canada, indicating Credit Suisse is now part of UBS Group; UBS offers both traditional and alternative asset classes, giving a medium illiquid book likelihood, but no specific AUM or private investment detail is stated.",consensus_website_plus,,data\firm_pages\AAO017.md,2026-05-29T09:52:17Z,v2-2026-05-27,,suspect,2026-05-29T04:20:19+00:00,,,,,
AAO147,Sumitomo Mitsui Trust (Hong Kong) Limited,https://hk.sumitrust-am.com/,high_confidence,active,"public_equity,public_credit,multi",mixed,,medium,,,global,generalist,not_applicable,Sumitomo Mitsui Trust Group (SuMi TRUST),subsidiary,,,,,,,,true,true,"1,3,4,9",multiple_pages_corroborate,"The website is a generic terms-and-conditions page for the Sumitomo Mitsui Trust Group, with no specific AUM, strategy details, or investment focus. The Hong Kong entity is a subsidiary of a large Japanese banking group that has significant asset management operations; the parent group has mixed asset capabilities including likely illiquid assets, hence medium likelihood. Classification is based on the parent group's known scope.",consensus_website_plus,"AI overview: Sumitomo Mitsui Trust (Hong Kong) Limited (SMTHK) is a wholly-owned investment management subsidiary of Sumitomo Mitsui Trust Bank. Operating in the region since 1978, the firm provides Asian equity investment advisory, private equity fund gatekeeping, and asset management services exclusively for professional investors. LinkedIn·Sumitomo Mitsui Trust (Hong Kong) Limited +1 Profile Summary  Regulatory Licenses SMTHK is licensed by the Hong Kong Securities and Futures Commission (SFC) to conduct ",data\firm_pages\AAO147.md,2026-05-28T14:14:46Z,v2-2026-05-27,,verified,,,,,,
AAO318,"Toronto-Dominion Bank, The",https://www.openbankingtracker.com/,medium_confidence,active,"public_credit,multi",mixed,,medium,,,global,generalist,not_applicable,Toronto-Dominion Bank,n_a,,,,,,,,false,false,,inferred_from_name_or_parent,"Toronto-Dominion Bank is a major North American bank with a Hong Kong wholesale and corporate banking arm (TD Securities); its global asset management and wealth businesses include both liquid and illiquid investments, but the HK entity focus is corporate banking and trade finance, not direct private investments.",consensus_no_site,"KG title: Toronto-Dominion Bank
KG type: Bank in Hong Kong
AI overview: TD Bank operates in Hong Kong primarily through its wholesale banking and corporate arm, TD Securities. While the branch does not offer standard retail or consumer checking accounts for the general public, it provides trade finance, wealth services, and corporate banking. Canadian Chamber of Commerce in Hong Kong +1 Office Location & Contact  Available Services  For standard North American consumer banking needs (like checking, savings, or mortgages), individuals should refer to the TD Bank USA ",data\firm_pages\AAO318.md,2026-05-28T14:31:20Z,v2-2026-05-27,,probable,,,,,,
AAO746,Commonwealth Bank of Australia,https://www.commonwealthbank.com/,high_confidence,active,"public_equity,public_credit,real_assets",mixed,bank proprietary investment and balance sheet,medium,,,australia,generalist,not_applicable,,n_a,,,,,,,,false,false,,inferred_from_name_or_parent,"Commonwealth Bank of Australia is a major Australian bank with asset management operations through its subsidiary Colonial First State. The bank invests in both public markets and private assets (real estate, infrastructure), and its illiquid private holdings suggest need for valuation support.",llm_on_name,"KG title: Commonwealth Bank of Australia Central
KG type: Banking and finance in Hong Kong",data\firm_pages\AAO746.md,2026-05-28T06:56:11Z,v2-2026-05-27,,probable,,,,,,
AAP057,Emperor Securities Limited,https://www.emperorcapital.com,high_confidence,active,unknown,unknown,,unknown,,,,,not_applicable,Emperor Capital Group,subsidiary,,,,,,,,true,true,"1,4",inferred_from_name_or_parent,"Emperor Securities is a subsidiary of Emperor Capital Group; the website primarily promotes securities trading, wealth management, asset management, corporate finance, and loans, with no mention of private markets or illiquid assets, so asset classes and illiquid book likelihood remain unknown.",none,,data\firm_pages\AAP057.md,2026-05-28T07:44:24Z,v2-2026-05-27,,probable,,,,,,
